place,address,latitude,longitude,country_geocoded,country_added,country
kyung hee university,"59 Dosu-ri, Toechon-myeon, Gwangju-si, Gyeonggi-do, South Korea",37.473515,127.355144,South Korea,,South Korea
gwangju institute of science and technology,"123 Cheomdangwagi-ro, Oryong-dong, Buk-gu, Kwangju, South Korea",35.2265288,126.839987,South Korea,,South Korea
organisation for economic co operation and development,"168 Oakdale Rd unit 6, North York, ON M3N 2S5, Canada",43.7444925,-79.5265222,Canada,,Canada
university of the free state,"205 Nelson Mandela Dr, Park West, Bloemfontein, 9301, South Africa",-29.1075973,26.1924506,South Africa,,South Africa
shiraz university,"Shiraz, استان فارس شیراز قم آبا، Ghasro Dasht St, Iran",29.6459731,52.4940247,Iran,,Iran
poznan university of economics,"Al. Niepodległości 10, 61-875 Poznań, Poland",52.4062939,16.918482,Poland,,Poland
universidad externado de colombia,"Calle 12 #1-17 Este, Bogotá, Colombia",4.5953562,-74.0685881,Colombia,,Colombia
university of maribor,"Slomškov trg, Center 15, 2000 Maribor, Slovenia",46.559159,15.6433583,Slovenia,,Slovenia
universidade federal de minas gerais,"Av. Pres. Antônio Carlos, 6627 - Pampulha, Belo Horizonte - MG, 31270-901, Brazil",-19.870682,-43.9677359,Brazil,,Brazil
shenkar college of engineering and design,"Anne Frank St 12, Ramat Gan, Israel",32.0900621,34.8031305,Israel,,Israel
king abdulaziz university,"شارع الإدارة، King Abdul Aziz University, Jeddah Saudi Arabia",21.4932675,39.2391473,Saudi Arabia,,Saudi Arabia
emirates college for advanced education,Khalifa A City - Khalifa CitySE-43 - Abu Dhabi - United Arab Emirates,24.420397,54.5964621,United Arab Emirates,,United Arab Emirates
institute for technology assessment and systems analysis itas,"323 Dr Martin Luther King Jr Blvd, Newark, NJ 07102, USA",40.7427996,-74.1770884,United States,,United States
university of the western cape,"Robert Sobukwe Rd, Bellville, Cape Town, 7535, South Africa",-33.9335203,18.627958,South Africa,,South Africa
royal institute of technology,"Brinellvägen 8, 114 28 Stockholm, Sweden",59.3498706,18.0702566,Sweden,,Sweden
concordia university,"1455 Boulevard de Maisonneuve O, Montréal, QC H3G 1M8, Canada",45.4945643,-73.5773775,Canada,,Canada
purdue university,"610 Purdue Mall, West Lafayette, IN 47907, USA",40.4237054,-86.9211946,United States,,United States
indian agricultural research institute,"Pusa, New Delhi, Delhi 110012, India",28.6376724,77.1571443,India,,India
university of victoria,"Victoria, BC V8P 5C2, Canada",48.4634067,-123.3116935,Canada,,Canada
carnegie institution for science,"1530 P St NW, Washington, DC 20005, USA",38.9093719,-77.0358548,United States,,United States
university of dhaka,"Nilkhet Rd, Dhaka 1000, Bangladesh",23.7339932,90.3928773,Bangladesh,,Bangladesh
george mason university,"4400 University Dr, Fairfax, VA 22030, USA",38.8298118,-77.3073606,United States,,United States
indira gandhi institute of development research,"Gen General Arun Kumar Vaidya Marg, Film City Rd, IGIDR, Nagri Niwara Cooperative Housing Society, Goregaon, Mumbai, Maharashtra 400065, India",19.1661982,72.8775967,India,,India
university of ioannina,"Ioannina 451 10, Greece",39.6158593,20.8450898,Greece,,Greece
university of patras,"Panepistimioupoli Patron 265 04, Greece",38.28923,21.785369,Greece,,Greece
university of manchester,"Oxford Rd, Manchester M13 9PL, UK",53.4668498,-2.2338837,United Kingdom,,United Kingdom
agricultural research service,"National Laboratory for Agriculture and the Environment, 1015 N University Blvd, Ames, IA 50011, USA",42.0301452,-93.6421416,United States,,United States
university of california davis,"1 Shields Ave, Davis, CA 95616, USA",38.5382322,-121.7617125,United States,,United States
unicef,"3 United Nations Plaza, New York, NY 10017, USA",40.7503863,-73.9699633,United States,,United States
university of connecticut,"Storrs, CT 06269, USA",41.8077414,-72.2539805,United States,,United States
rmit university,"124 La Trobe St, Melbourne VIC 3000, Australia",-37.8062327,144.9651578,Australia,,Australia
ohio state university,"281 W Lane Ave, Columbus, OH 43210, USA",40.0066723,-83.0304546,United States,,United States
international monetary fund,"700 19th St NW, Washington, DC 20431, USA",38.8985658,-77.0442842,United States,,United States
washington college,"300 Washington Ave, Chestertown, MD 21620, USA",39.2180241,-76.0692262,United States,,United States
university of oxford,"Oxford OX1 2JD, UK",51.7548164,-1.2543668,United Kingdom,,United Kingdom
australian national university,"Canberra ACT 0200, Australia",-35.2776999,149.118527,Australia,,Australia
university of the witwatersrand,"1 Jan Smuts Ave, Johannesburg, 2000, South Africa",-26.1928836,28.0304733,South Africa,,South Africa
university of bergen,"5007 Bergen, Norway",60.3878586,5.3217549,Norway,,Norway
tribhuvan university,"TU Rd, Kirtipur 44618, Nepal",27.6806722,85.2834629,Nepal,,Nepal
brookings institution,"1775 Massachusetts Ave NW, Washington, DC 20036, USA",38.9090159,-77.0405558,United States,,United States
university of melbourne,"Parkville VIC 3010, Australia",-37.7983459,144.960974,Australia,,Australia
university of georgia,"Athens, GA 30602, USA",33.9480053,-83.3773221,United States,,United States
university of arizona,"Tucson, AZ 85721, USA",32.2318851,-110.9501094,United States,,United States
university of colorado boulder,"Boulder, CO 80309, USA",40.007581,-105.2659417,United States,,United States
university of utah,"201 Presidents' Cir, Salt Lake City, UT 84112, USA",40.7649368,-111.8421021,United States,,United States
sandia national laboratories,"1515 Eubank Blvd SE, Albuquerque, NM 87123, USA",35.0606255,-106.5346158,United States,,United States
istanbul university,"Beyazıt, 34452 Fatih/İstanbul, Turkey",41.0126037,28.961838,Turkey,,Turkey
food and agriculture organization,"405 E 42nd St, New York, NY 10017, USA",40.7506306,-73.9698793,United States,,United States
borough of manhattan community college,"199 Chambers St, New York, NY 10007, USA",40.7188813,-74.0117595,United States,,United States
tohoku university,"2-chōme-1-1 Katahira, Aoba-ku, Sendai, Miyagi 980-8577, Japan",38.253834,140.874074,Japan,,Japan
technische universitat darmstadt,"Karolinenpl. 5, 64289 Darmstadt, Germany",49.8748337,8.6559711,Germany,,Germany
international fertilizer development center,"46 David Lilienthal Dr, Muscle Shoals, AL 35661, USA",34.7698259,-87.6542176,United States,,United States
university of birmingham,"Birmingham B15 2TT, UK",52.4508168,-1.9305135,United Kingdom,,United Kingdom
osaka university,"1-1 Yamadaoka, Suita, Osaka 565-0871, Japan",34.8220139,135.5244676,Japan,,Japan
