unicef	columbia university	6	trans-continental
unicef	university of north carolina at chapel hill	4	trans-continental
unicef	university of washington	2	trans-continental
unicef	international food policy research institute	2	trans-continental
unicef	institute of tropical medicine antwerp	2	Unknown
unicef	university of southampton	4	trans-continental
unicef	duke university	2	trans-continental
unicef	university of edinburgh	3	domestic
unicef	south african medical research council	2	trans-continental
unicef	university of kwazulu natal	2	trans-continental
unicef	pan american health organization	2	trans-continental
unicef	university of melbourne	2	trans-continental
university of bergen	college of health sciences bahrain	2	trans-continental
university of bergen	university of california san francisco	2	domestic
university of bergen	university of washington	2	domestic
university of bergen	university of queensland	4	trans-continental
university of bergen	georgetown university	2	domestic
university of bergen	university of toronto	2	international
university of bergen	norwegian institute of public health	3	trans-continental
university of bergen	millennium institute	2	trans-continental
university of arizona	university of colorado boulder	2	domestic
university of arizona	national autonomous university of mexico	2	international
university of arizona	university of minnesota	2	domestic
university of arizona	imperial college london	2	trans-continental
university of arizona	max planck society	2	trans-continental
university of arizona	columbia university	2	domestic
university of arizona	arizona state university	2	domestic
university of arizona	university of twente	2	trans-continental
university of colorado boulder	university of utah	2	domestic
university of colorado boulder	university of british columbia	2	international
university of colorado boulder	colorado state university	3	domestic
university of colorado boulder	university of michigan	2	domestic
university of colorado boulder	vanderbilt university	2	domestic
university of colorado boulder	columbia university	2	domestic
university of colorado boulder	boston children s hospital	2	Unknown
university of colorado boulder	massachusetts eye and ear infirmary	2	domestic
university of colorado boulder	harvard university	3	domestic
university of colorado boulder	lund university	2	trans-continental
university of colorado boulder	university of connecticut	2	domestic
university of colorado boulder	cornell university	3	domestic
university of colorado boulder	duke university	2	domestic
university of colorado boulder	university of leeds	2	trans-continental
university of colorado boulder	max planck society	2	trans-continental
university of colorado boulder	national museum of natural history	2	domestic
university of colorado boulder	national ecological observatory network	2	domestic
university of colorado boulder	centre national de la recherche scientifique	2	trans-continental
university of colorado boulder	national oceanic and atmospheric administration	2	Unknown
university of utah	vanderbilt university	2	domestic
university of utah	university of california san francisco	3	domestic
university of utah	addis ababa university	2	trans-continental
university of utah	pacific northwest university of health sciences	2	domestic
university of tokyo	tohoku university	2	domestic
university of tokyo	teikyo university	2	trans-continental
university of tokyo	university of dhaka	2	international
university of tokyo	national institute for environmental studies	2	domestic
university of tokyo	united nations	2	trans-continental
university of tokyo	university of rajshahi	3	international
university of tokyo	united nations university	2	trans-continental
university of tokyo	chinese academy of sciences	3	international
university of birmingham	university of nairobi	2	trans-continental
university of brasilia	humboldt university of berlin	2	trans-continental
university of brasilia	university of toronto	2	trans-continental
romanian academy	national defence college india	2	Unknown
mekelle university	federal ministry of health	2	trans-continental
mekelle university	norwegian university of life sciences	2	trans-continental
griffith university	princess alexandra hospital	2	trans-continental
griffith university	university of canberra	2	domestic
griffith university	university of queensland	7	domestic
griffith university	australian museum	2	domestic
griffith university	university of new south wales	2	domestic
griffith university	australian national university	2	domestic
griffith university	university college london	2	trans-continental
griffith university	united states forest service	2	trans-continental
griffith university	university of melbourne	2	domestic
griffith university	university of washington	2	trans-continental
griffith university	imperial college london	2	trans-continental
griffith university	world wide fund for nature	2	trans-continental
griffith university	the nature conservancy	3	trans-continental
griffith university	city college of new york	2	trans-continental
commonwealth scientific and industrial research organisation	australian national university	13	domestic
commonwealth scientific and industrial research organisation	university of new south wales	3	domestic
commonwealth scientific and industrial research organisation	university of sydney	3	domestic
commonwealth scientific and industrial research organisation	hobart corporation	3	trans-continental
commonwealth scientific and industrial research organisation	university of british columbia	2	trans-continental
commonwealth scientific and industrial research organisation	institut de recherche pour le developpement	2	trans-continental
commonwealth scientific and industrial research organisation	la trobe university	3	domestic
commonwealth scientific and industrial research organisation	university of melbourne	6	domestic
commonwealth scientific and industrial research organisation	swedish university of agricultural sciences	3	trans-continental
commonwealth scientific and industrial research organisation	arizona state university	3	trans-continental
commonwealth scientific and industrial research organisation	university of the witwatersrand	2	trans-continental
commonwealth scientific and industrial research organisation	international center for tropical agriculture	2	trans-continental
commonwealth scientific and industrial research organisation	james cook university	5	domestic
commonwealth scientific and industrial research organisation	monash university	3	domestic
commonwealth scientific and industrial research organisation	united nations	2	trans-continental
commonwealth scientific and industrial research organisation	university of queensland	4	domestic
commonwealth scientific and industrial research organisation	university of mataram	2	trans-continental
commonwealth scientific and industrial research organisation	international institute for applied systems analysis	3	trans-continental
commonwealth scientific and industrial research organisation	university of alaska fairbanks	2	trans-continental
commonwealth scientific and industrial research organisation	flinders university	2	domestic
commonwealth scientific and industrial research organisation	university of twente	3	trans-continental
commonwealth scientific and industrial research organisation	centre national de la recherche scientifique	2	trans-continental
commonwealth scientific and industrial research organisation	concordia university	2	trans-continental
commonwealth scientific and industrial research organisation	stellenbosch university	3	trans-continental
commonwealth scientific and industrial research organisation	university of california santa barbara	2	trans-continental
commonwealth scientific and industrial research organisation	netherlands environmental assessment agency	2	Unknown
commonwealth scientific and industrial research organisation	chinese academy of sciences	3	trans-continental
commonwealth scientific and industrial research organisation	university of oxford	2	trans-continental
commonwealth scientific and industrial research organisation	university of reading	2	trans-continental
commonwealth scientific and industrial research organisation	university of florida	2	trans-continental
commonwealth scientific and industrial research organisation	columbia university	2	trans-continental
commonwealth scientific and industrial research organisation	stockholm resilience centre	2	trans-continental
commonwealth scientific and industrial research organisation	university of cape town	2	trans-continental
commonwealth scientific and industrial research organisation	queensland university of technology	2	domestic
commonwealth scientific and industrial research organisation	university of tasmania	3	domestic
commonwealth scientific and industrial research organisation	zoological society of london	2	trans-continental
commonwealth scientific and industrial research organisation	spanish national research council	2	Unknown
commonwealth scientific and industrial research organisation	university of eastern finland	2	trans-continental
