institution,betweenness,closeness,degree,eigenvector
university of british columbia,0.026841533833653963,0.33157786410764367,0.05078597339782345,0.10070226095961188
university of cape town,0.03368860727920378,0.34942061912688904,0.05078597339782345,0.13929352347908847
boston children s hospital,0.003410697548726279,0.30557175711880885,0.022974607013301087,0.07099526483734693
university of alberta,0.0,0.1548736359061789,0.0012091898428053204,5.413487187645684e-06
university of venda,0.0,0.20539254844229654,0.0012091898428053204,0.0005944081987974936
moi university,0.0,0.24133425649336815,0.0012091898428053204,0.005227895966119841
university of pretoria,0.0032065666855766667,0.29252293971016896,0.012091898428053204,0.035855160435845364
university of toronto,0.022290101572992178,0.33406558656075563,0.053204353083434096,0.13866925014216047
montana state university,0.0,0.19865085548832695,0.003627569528415961,0.00030907570933070167
colorado state university,0.0087584253527966,0.25727048473890635,0.012091898428053204,0.0075447485694594
south dakota state university,1.964530945446135e-05,0.20050382261896751,0.0048367593712212815,0.0003433973006013668
utah state university,0.0,0.2004393519364534,0.0024183796856106408,0.0003622247251677608
university of wyoming,0.0,0.19865085548832695,0.003627569528415961,0.00030907570933070167
university of zurich,0.0,0.19221905165660502,0.0012091898428053204,0.00016405173101211436
university of botswana,0.0,0.22561215509314878,0.0012091898428053204,0.002558129612986673
rhodes university,0.0,0.21887864625083217,0.0012091898428053204,0.001351743477081804
international university cambodia,0.0,0.0012091898428053204,0.0012091898428053204,8.908325072181525e-18
national university of singapore,0.002294575844995449,0.27340630900103946,0.007255139056831922,0.014724230431640763
rmit university,0.004202490506352511,0.22758904144664843,0.003627569528415961,0.0016501135938340782
monash university,0.006879476180030632,0.29047827796941755,0.014510278113663844,0.033496035818603095
university of leeds,0.014474305253759936,0.3251780826929421,0.03143893591293833,0.06419666269009154
eth zurich,0.005690453511866106,0.2624700566409979,0.006045949214026602,0.009260163052694018
cornell university,0.006810132721500312,0.3175580155488385,0.02418379685610641,0.06899181446238091
california institute of technology,0.0,0.23259939720983958,0.0012091898428053204,0.0026011119955580767
brown university,0.0,0.2181891440400315,0.0012091898428053204,0.0010025146066964753
woodrow wilson international center for scholars,0.0001999590288068534,0.25453915252036347,0.009673518742442563,0.007495942188150825
virginia tech,0.0004658147339888804,0.24894823663033944,0.007255139056831922,0.004796920097826171
northwestern university,0.00024059372647829402,0.2962767987273622,0.015719467956469165,0.06186374628640077
university of southern california,0.0002438461258394189,0.2806692411176812,0.006045949214026602,0.018715285050564533
university of tsukuba,0.0,0.1806335510061924,0.0012091898428053204,0.00010793736245080725
agro paristech,0.0,0.1935920448827236,0.0012091898428053204,0.00020493868556259857
institut national de la recherche agronomique,0.004291228172479551,0.24904769657306036,0.007255139056831922,0.005434913475408289
tufts university,0.00015371437031089187,0.29252293971016896,0.008464328899637243,0.043981323042244405
united states geological survey,0.0028555658419457293,0.2601696095669324,0.009673518742442563,0.00984642254921588
tsinghua university,0.007367354503476956,0.271974862357055,0.012091898428053204,0.010587880646212374
princeton university,0.000627717688070992,0.2825776901733318,0.007255139056831922,0.020830391326556133
university of eastern finland,0.004203392804802257,0.25054918992056674,0.007255139056831922,0.00751672562162633
united states environmental protection agency,0.002246665861842664,0.24815540785126197,0.003627569528415961,0.005136593782805906
james cook university,0.0035211822186545453,0.290613699078028,0.021765417170495766,0.04019197945402142
aalto university,0.0,0.18410111769709686,0.0012091898428053204,7.978876214714484e-05
asian development bank,0.0,0.18907078693429483,0.0012091898428053204,0.00017074643129781172
brookings institution,0.0020992472573642005,0.24161487772184886,0.0024183796856106408,0.004529071074761232
united nations development programme,0.004258369822150447,0.2899378532662186,0.010882708585247883,0.029608331524556043
global environment facility,0.0,0.2174281076115696,0.0012091898428053204,0.0011162488207496733
university of paris,0.0022040776233658967,0.20841403695164495,0.003627569528415961,0.0004332883232454067
university of bonn,0.00013879577929073786,0.22951634187127026,0.0024183796856106408,0.0021689929329912006
national university of la plata,0.0,0.24142772444708369,0.0012091898428053204,0.00452263416530131
world bank,0.024808011880577414,0.33424471019966223,0.05199516324062878,0.11996168297315377
university of twente,0.01203093160127296,0.3112163677096206,0.03506650544135429,0.05447891892423021
instituto politecnico nacional,0.0,0.16141024974685914,0.0012091898428053204,8.058908515449132e-06
federal university of technology minna,0.0,0.0012091898428053204,0.0012091898428053204,8.908325072181525e-18
